                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92719,                0.51034,                0.89308,                0.93088,                 0.8673,                0.94599,                   0.72,                 0.8571,                0.46296,                0.88208,              0.0074347,              0.0074347,              0.0074347
                     37,                0.92099,                0.50719,                0.89203,                0.93503,                0.86754,                0.95067,                0.72914,                 0.8465,                0.45325,                0.87953,              0.0072973,              0.0072973,              0.0072973
                     38,                0.91958,                0.50569,                0.89086,                0.92778,                0.87164,                0.94811,                0.72493,                0.84826,                0.45639,                0.87895,              0.0071576,              0.0071576,              0.0071576
                     39,                0.91477,                0.50605,                0.88922,                0.93112,                0.87226,                 0.9473,                0.72781,                0.83831,                0.45214,                0.87972,              0.0070159,              0.0070159,              0.0070159
                     40,                0.90628,                0.49984,                0.88866,                0.93458,                0.87158,                0.94978,                0.73313,                0.83679,                0.45171,                0.87633,              0.0068722,              0.0068722,              0.0068722
                     41,                0.89863,                0.49716,                0.88572,                0.93547,                0.87172,                0.95044,                0.73359,                0.82886,                0.44444,                0.87535,              0.0067268,              0.0067268,              0.0067268
                     42,                0.88863,                0.49014,                 0.8851,                0.92866,                0.88026,                0.95287,                0.73602,                0.82681,                0.44656,                0.87489,              0.0065796,              0.0065796,              0.0065796
                     43,                0.88761,                 0.4886,                0.88352,                0.92788,                0.88048,                0.95293,                0.73722,                 0.8148,                0.44439,                0.87186,               0.006431,               0.006431,               0.006431
                     44,                0.88365,                 0.4861,                0.88212,                0.93805,                0.87476,                0.95283,                0.73598,                0.82244,                0.43922,                0.87451,               0.006281,               0.006281,               0.006281
                     45,                0.87676,                0.48432,                0.88295,                0.93016,                0.88107,                0.95463,                0.74281,                 0.8096,                 0.4364,                0.87126,              0.0061298,              0.0061298,              0.0061298
                     46,                0.87669,                0.48389,                0.87959,                0.93181,                0.88035,                0.95212,                0.73685,                0.80688,                0.43575,                0.87255,              0.0059775,              0.0059775,              0.0059775
                     47,                0.87459,                0.48192,                0.88254,                0.93443,                0.88291,                0.95461,                0.74603,                0.80386,                 0.4327,                0.86991,              0.0058244,              0.0058244,              0.0058244
                     48,                0.87097,                0.47881,                0.87722,                0.93948,                0.87973,                0.95369,                0.74694,                0.79618,                0.42555,                0.86787,              0.0056704,              0.0056704,              0.0056704
                     49,                0.85752,                0.47401,                0.87675,                0.93518,                0.88656,                0.95503,                0.74361,                0.79437,                0.42732,                0.86849,              0.0055158,              0.0055158,              0.0055158
                     50,                0.85765,                0.47154,                0.87818,                0.93607,                0.88086,                0.95548,                0.74927,                0.79176,                 0.4234,                0.86773,              0.0053608,              0.0053608,              0.0053608
                     51,                0.84774,                0.46808,                 0.8758,                0.93527,                0.88801,                 0.9552,                0.75233,                0.78521,                0.42185,                0.86591,              0.0052055,              0.0052055,              0.0052055
                     52,                0.84547,                0.46532,                0.87441,                0.93658,                 0.8892,                0.95661,                0.75323,                0.78677,                0.42062,                0.86824,                0.00505,                0.00505,                0.00505
                     53,                0.84516,                0.46824,                0.87403,                0.93947,                0.88816,                 0.9579,                0.75704,                0.77886,                0.41897,                0.86539,              0.0048945,              0.0048945,              0.0048945
                     54,                0.82805,                0.45644,                0.87148,                0.93614,                0.88692,                0.95636,                0.75232,                 0.7732,                0.41779,                0.86355,              0.0047392,              0.0047392,              0.0047392
